PCCDB-ID,SMILES
69192,NN(c1ccccc1)Cc1ccccc1
69193,Cc1cccc(c1)OC(=O)c1ccccc1
69194,O=C=Nc1ccccc1C
69195,S=C=Nc1ccccc1C
69196,CCNc1ccccc1O
69198,OC(=N)Nc1ccccc1C
69199,OC(=O)Cc1ccc(cc1O)O
69201,CCOC(=O)c1cocc1
69204,CNC(=O)C(=O)NC
69206,Nc1ccc(c(c1)N)N
69208,CCOC(=O)C(=O)CC(=O)C
69209,CC(OC(=O)C(=O)OC(C)C)C
69210,CCNC(=O)C(=O)NCC
69211,Cc1cc(O)c(cc1O)C
69212,OC1=CC(=O)C(=O)C=C1C
69213,OC1=CC(=O)C(=CC1=O)O
69214,CCCOC(=O)C(=O)OCCC
69215,C=CCOC(=O)C(=O)OCC=C
69216,C[C@H]1N=[C](=[N]=C1O)O
69217,OC1=NC(=O)N(C1)C
69220,CCC(CC)S
69221,COC(=O)CN
69222,CCN(CC)N
69223,COS(=O)OC
69231,O=C(c1ccccc1)Oc1ccccc1C
69234,Cc1ccccc1NNc1ccccc1C
69236,CCOC(=O)[C@H](N)C
69238,CCOC(=O)C(=O)N
69239,[NH]/C(=N/[C](C(=O)N)O)/O
69240,COC(=O)CC(=C)C(=O)OC
69241,OC(=O)[C@@H](OC(=O)[C@@H](O)C)C
69244,CCC(C#N)CC
69245,N#Cc1ccco1
69248,O[C@H]1CN[C@@H](C1)C(=O)O
69253,Cc1cccc(c1)C(=N)O
69255,CCOC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
69256,OC(=N)c1cc(O)c(c(c1)O)O
69261,CCOC(=O)c1cccc(c1)N(=O)=O
69263,OC(=O)c1ccc(c(c1)N)N
69267,OCc1cccc(c1)N(=O)=O
69269,CN(c1cccc(c1)N(=O)=O)C
69270,CCCN(C(=N)O)CCC
69274,NC(=O)c1ccc(cc1)C
69275,OCc1ccc(cc1)N(=O)=O
69277,CC(c1ccc(cc1)C(=O)N)C
69278,COc1ccncc1
69279,CCC(OC(=O)C)CC
69280,OCC(ON(=O)=O)CO
69281,[O][N]c1cccc(c1)C
69284,O=N(=O)c1cccc(c1)Oc1ccccc1
69288,O=C(C(=O)Nc1ccccc1)Nc1ccccc1
69291,CCc1ccc(cc1)Cc1ccccc1
69292,O=N(=O)c1ccc(cc1)Cc1ccccn1
69293,Cc1ccc(cc1)Nc1ccc(cc1)C
69294,Cc1ccc(cc1)Sc1ccc(cc1)C
69296,N#CC/C(=Nc1ccccc1)/O
69297,ON(Cc1ccccc1)Cc1ccccc1
69301,COc1cc(OC)cc(c1)OC
69302,CCCc1cccc(c1)O
69303,O=C=Nc1cccc(c1)C
69304,S=C=Nc1cccc(c1)C
69305,CCOc1cccc(c1)C
69306,CCOc1cccc(c1)O
69308,CCOc1cccc(c1)N(=O)=O
69313,CC(=O)COc1ccccc1
69314,OC(=N)COc1ccccc1
69318,N#CNc1ccccc1
69319,[N]=[N]=Nc1ccccc1
69320,CCCc1ccccn1
69321,O=N(=O)Cc1ccccc1
69322,OC(=N)Oc1ccccc1
69325,O=C=Nc1ccc(cc1)C
69327,N#CCc1ccc(cc1)CC#N
69328,CCC#Cc1ccccc1
69331,OCc1ccc(cc1)N
69332,CNc1ccc(cc1)N
69333,ONc1ccc(cc1)C
69334,CSc1ccc(cc1)C
69336,CCOC(=O)C#N
69337,C/N=C(N=C(O)/C)/O
69338,OCC(=O)OC(C)C
69342,CCOC(=S)SCC
69343,CCCN/C(=NCCC)/O
69344,CCCOC(=O)OCCC
69354,COC(=O)CCC(=O)C
69355,CCCCOC(CO)CO
69357,CCON
69361,CC(=O)CC(N)(C)C
69362,OC(=O)CC(O)(C)C
69363,CCC(NC(=N)O)(C)C
69365,OC/N=C(/O)C
69367,CC(CN(=O)=O)C
69370,Sc1ccccc1S
69371,OC1=[N]=C(C=C[CH]1)O
69374,OCc1cccc(c1)CO
69375,N#CCc1cccc(c1)CC#N
69378,CCCC(=O)CC(C)C
69379,CCOC(=O)CN(=O)=O
69380,CCO[C](/N=C(/O)[NH])O
69381,CC1CCNCC1
69383,OC(COCCC(C)C)COCCC(C)C
69384,CCCCOS(=O)OCCCC
69386,CCOCC(C)C
69387,CCSCC(=O)O
69388,CC(=O)OCC#C
69389,OCCC=C
69391,CNCC=C
69392,COCC=C
69393,COCC#C
69395,OC(=N)/C=C/C(=N)O
69396,CC(CCN(=O)=O)C
69402,C#CCCC#C
69403,CCCN=C=S
69404,OCCOC=O
69406,CCCCCCC(O)(C)C
69407,CC(CCNC(=N)O)C
69409,CC(=O)OCCCOC(=O)C
69410,CC(=O)OCCCCOC(=O)C
69412,CCCCCOC
69413,N#CCNCC#N
69414,CCCCCCCC(=N)O
69415,CCCCCN=C=S
69416,N#CSCCSC#N
69418,CCCCCCCCCCCC(=O)CC
69419,CCCCCC/C=N/O
69420,OCCCCCCCCO
69422,CCCCCCCSCCCCCCC
69424,CCCCCCCCCCCCCCCC#N
69430,CC(=O)C#N
69431,O=CC(O)O
69451,Oc1cccc(c1N)O
69452,Oc1ccc(c(c1C)O)C
69457,O=C1C=CC(=O)c2c1cc1ccccc1c2
69460,C1CCc2c(N1)cccc2
69461,OC(=O)COc1ccccc1C(=O)O
69462,Oc1cc2OC3=C([N]c2cc1)C=CC(=O)[CH]3
69464,Oc1cc(O)c(cc1O)O
69465,Cc1oc(c(c1)C(=O)O)C
69466,CC[C@H](C(=O)O)CC(=O)O
69467,OCc1cccs1
69470,OC(=O)C1=CCCCC1
69471,COc1ccc(cc1O)N(=O)=O
69475,OC(=O)C#Cc1ccccc1
69480,CCOC(=O)CN=[N]=[N]
69482,O=C1C=CC(=S)C=C1
69486,C[C@@H]1N[C@H](C)N[C@H](N1)C
69487,O=C(/N=C(O)/C)/N=C(/O)C
69490,CCCCCOC(=N)O
69491,O=CCCCCCCC=O
69501,Cc1ccc2c(c1C)cccc2C
69504,O=Cc1c2ccccc2cc2c1cccc2
69510,COc1cc2CCNCc2c(c1OC)O
69511,Cc1cccc(c1)C(=O)c1ccccc1
69517,CCN(c1ccccc1)N
69519,OC(=O)Cc1ccccc1C
69520,Cn1cncc1CCN
69521,Cc1occ(c(=O)c1)O
69522,CCCCCC[C@@H](C(=O)O)N
69523,CC(c1ccccn1)C
69524,NCC(OCC)OCC
69533,NCCCCCCCN
69534,NCCCCCCCCCN
69550,OC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
69560,Oc1cc(C)c(c(c1)C)O
69574,O=Nc1ccc(cc1)N
69589,O1CCN(CC1)C1=CCCCC1
69590,c1ccc(cc1)c1cnc[nH]1
69591,c1ccc(cc1)c1ncc[nH]1
69597,CP(c1ccccc1)C
69599,COC=C(C#N)C#N
69600,COc1ccc(c(c1)O)C=O
69601,CC#Cc1ccccc1
69602,C/C(=NCCc1cnc[nH]1)/O
69603,CCOC(=O)CCSCCC(=O)OCC
69606,CC(=O)CCCCCCCCC(=O)O
69607,CPC
69609,CP(=O)(C)C
69629,CCOP(=O)(OCC)C=C
69631,CSCCOP(=O)(OC)OC
69641,CC(=O)CCC(=C(C)C)C
69642,CCSP(SCC)SCC
69649,CC/C=C/C(C)(C)C
69650,CC([N][C][N]C(C)(C)C)(C)C
69653,C/C(=NCC=C)/O
69655,CCC/C=C/C(C)C
69656,CNCCC#N
69657,OCC/N=C/O
69659,CCCCCCCN(=O)=O
69660,CCOC(=O)CCCCCCCCC(=O)O
69661,NCCCCCCCCCCCC(=O)O
69663,Cc1cocn1
69665,O[P@@]1(=O)CCC=C1
69666,CN1CCC=CC1
69667,c1ccc2c(c1)CC2
69668,C1C=CC2(C1)OCCO2
69669,C[C]1[N]CCN1CCO
69673,c1ccc(cc1)N1CC1
69674,CC(c1ccncc1)C
69675,CNc1cccc(c1)C
69682,C[C]1NC=C(C(=N1)[NH])C#N
69684,OC(=N)NC1CCCCC1
69685,OCCSc1ccccc1
69687,CC(=O)c1c(O)cccc1O
69688,O=C1OC(=O)c2c1nccc2
69689,Cn1cnc2c1[N]C=N[C]2N
69692,COc1cccc(c1C=O)O
69694,O=C1CCC2=C(O1)CCCC2
69695,O=C=Nc1ccccc1OC
69698,OC(=N)c1ccc(=O)n(c1)C
69700,COc1ccc(cc1)N(C)C
69701,CCC1=[N]=C(NC(=N1)OC)[NH]
69702,OC(=O)CCC1CCCCC1
69704,CCCCc1ccc(nc1)C
69705,OCCc1ccc(cc1)OC
69706,O=C1CC(C)(C)CC(=O)C1(C)C
69707,CC1(C)COC2(OC1)CCCC2
69708,OC(=N)[C@@H]1CC(NC1(C)C)(C)C
69709,COc1cccc(c1C(=O)C)O
69712,O=Cc1ccc(c(c1)O)N(=O)=O
69713,O=C(c1cccs1)c1cccs1
69714,COc1ccc(c(c1)C(=O)C)O
69715,OCCn1cc(nc1C)N(=O)=O
69718,OCc1cc(OC)cc(c1)OC
69719,N#CCCNCc1ccccc1
69727,Oc1ccc(cc1)C1=CCCCC1
69742,CN([C@H]1CN(C(=O)C1)c1ccccc1)C
69743,O=C1OC(=O)c2c1cc1ccccc1c2
69746,CC(=O)Oc1ccc(c(c1)C(C)(C)C)O
69751,Cn1c2ccccc2c(=O)c2c1cccc2
69753,CCCC(c1ccccc1)c1ccccc1
69757,COC(=O)c1ccc(cc1)c1ccccc1
69794,S=CN(C)C
69795,CC[SiH](C)C
69797,CC(N(C(=O)C)C(C)C)C
69798,CCOC(=O)C(C(C)(C)C)C(=O)OCC
69799,CC[SiH](CC)C
69800,[O][N]N(C(=N)O)CC(C)C
69803,CCOC(=O)C#CC(=O)OCC
69808,C=CC[Si](C)(C)C
69810,CCCCCC(S)(C)C
69811,OC(=N)CCS
69812,CC(=O)C[C](/N=C(O)/[NH])O
69813,C=CCC=C(C)C
69814,C/C=C/CCO
69815,CCCOC=C
69816,C=CCSC#N
69817,C=CCCCC=O
69818,CCCC#CCO
69820,OCCCCCCCC(=O)O
69821,CCCCCCCCCCC#C
69826,CCCCCCCCCCCCOC=C
69828,NC1CC1
69829,CC1=C(C)CCC1
69833,OCCC1CCCC1
69834,N#CC1CCCCC1
69835,OOC1CCCCC1
69836,C[SiH2]c1ccccc1
69837,CCC1(CC)NCCS1
69840,C=COc1ccccc1
69841,CC(=O)CC1OCCO1
69842,OCCCC1CCCC1
69843,CCCCN1CCCC1
69844,Nc1cc(O)nc(n1)C
69845,Nc1cccc2c1nsn2
69847,Cc1n(C)c(c(c1C)C)C
69848,C/C=C(/c1ccccc1)C
69849,C[Si](c1ccccc1)(C)C
69850,CCc1ccc([n+](c1)[O-])C
69851,N#Cc1ccc(=O)n(c1)C
69852,CCC1OCC(CO1)(C)C
69853,CN(c1c(C)cccc1C)C
69856,N#Cc1c(C)cc(nc1O)C
69857,O=C1CCC2=C1CCCCC2
69860,CN1C(=O)CC(=O)N(C1=O)C
69861,CC(c1ccc(cc1)N)(C)C
69862,C[Si](Cc1ccccc1)(C)C
69865,O=C1COc2c(N1O)cccc2
69867,OC(=O)c1c[nH]c2c1cccc2
69868,N#CCC1=CCc2c1cccc2
69872,Nc1cc2ccccc2cc1N
69873,N1CCC(CC1)c1ccccc1
69877,CC(=O)OC1CCCCCCC1
69885,CC(=O)c1ccc2c(c1)CCCC2
69890,O=C1CCN(C1)Cc1ccccc1
69891,CCO[Si](c1ccccc1)(OCC)C
69893,C[SiH](c1ccccc1)c1ccccc1
69896,COc1cc(ccc1OC)CC(=O)C
69897,OCCOC(=O)C1=CC(=[N]=[C](=N1)O)O
69900,C[Si](c1ccccc1)(c1ccccc1)O
69903,CC(NC(=O)c1ccc(cc1)C(=O)O)C
69904,CC(=O)c1cc(cc(c1)C(=O)C)C(=O)C
69906,c1cc2CCc3c4c2c(c1)CCc4ccc3
69907,CC(=O)C(c1ccccc1)c1ccccc1
69908,CC(=O)c1ccc2c(c1)Cc1c2cccc1
69909,Cc1ccc2c(c1)cc1c(c2)ccc(c1)C
69910,Nc1ccc(cc1)C(=O)Nc1ccccc1
69914,O=c1cc(sc2c1cccc2)c1ccccc1
69915,CCOC(=O)C(=O)Cc1ccccc1N(=O)=O
69942,CCOP(=O)(CC(=O)C(C)(C)C)OCC
69943,CCCOP(=O)(OCC)OCC
69945,CCOS(=O)(=O)OC
69949,CC(C(=O)C)C(=O)C
69950,CC(=O)C(C(=O)C)C(=O)C
69951,CCC(C(=O)OC)CC
69953,CC(=C)COC(=O)C(C)C
69954,CSP(SC)SC
69955,CCOCC(=O)OCC
69957,COC(=O)CCCCCCCCC(=O)O
69962,CC(=O)OCC(=C)C
69963,OCCCCC=C
69972,C1CC=C1
69975,O=c1ccccn1O
69976,Cc1[nH]c(c(n1)C)C
69977,C=C(C1CC1)C1CC1
