PCCDB-ID,SMILES
48893,C[C@@H]([C@@H](c1ccccc1O)O)N
48898,COc1cc(ccc1OC)[C@H](C(C)C)O
48932,O=C(c1ccccc1)OCC[C@H]1CCCCN1
48945,O=C(c1ccccc1)OCCCN1CCCC1
48987,CC[C@H](NC(C)C)COC(=O)c1ccccc1
49016,CCOC(=O)c1ccc(cc1)OC[C@@H](CO)O
49091,CC[C@H](C(=O)c1ccc(c(c1)O)O)C
49104,NCc1ccccc1OC(=O)N(C)C
49121,CNCc1ncccc1OC(=O)N(C)C
49130,CCCC[C@]1(/C=C/CC)C(=N[C](=[N]=C1O)=O)O
49132,CCCC[C@]1(C/C=C/C)C(=N[C](=[N]=C1O)=O)O
49134,C/C=C/C[C@@]1([C@H](CC)C)C(=N[C](=[N]=C1O)=O)O
49146,CC/C=C/[C@@]1(C(C)C)C(=NC(=O)N(C1=O)C)O
49171,CCCCN1C(=O)N=C([C@@H](C1=O)[C@H](CC)C)O
49187,CCCC[N][C]1=[N]=C(O)C(C(=[N]=1)O)(CC)CC
49191,CCCC[C@@]1(CC(=C)C)C(=N[C](=[N]=C1O)=O)O
49192,CC[C@@H]([C@]1([C@@H](C=C)C)C(=N[C](=[N]=C1O)=O)O)C
49194,CCCC[C@@]1([C@H](C=C)C)C(=N[C](=[N]=C1O)=O)O
49196,CC[C@H]([C@@]1(CC(=C)C)C(=N[C](=[N]=C1O)=O)O)C
49205,CCCC[C@@]1(/C(=C/C)/C)C(=N[C](=[N]=C1O)=O)O
49246,CCCC[C@@]1(C=C)C(=N[C](=[N]=C1O)=O)O
49261,CC/C(=CC)/[C@@]1(C)C(=N[C](=[N]=C1O)=O)O
49262,CCC[C@@]1(/C(=CC)/CC)C(=N[C](=[N]=C1O)=O)O
49296,CC(=CC[C@@]1(C(C)C)C(=N[C](=[N]=C1O)=O)O)C
49298,CCC[C@@]1(/C=C/C(C)C)C(=N[C](=[N]=C1O)=O)O
49299,CC(CC[C@@]1(C(=C)C)C(=N[C](=[N]=C1O)=O)O)C
49300,CC(CC[C@@]1(C)C(=N[C](=[N]=C1O)=O)O)C
49306,CCCCC[C@@]1(C(=C)C)C(=N[C](=[N]=C1O)=O)O
49307,CCC[C@@]1(C(=C)C)C(=N[C](=[N]=C1O)=O)O
49311,CCCCC[C@@]1(C(C)C)C(=N[C](=[N]=C1O)=O)O
49312,C/C=C/[C@@]1(C(C)C)C(=N[C](=[N]=C1O)=O)O
49351,C/C(=Nc1cc(/N=C(/O)C)cc(c1)C(=O)O)/O
49385,C/C(=NCCN1CCCC1=O)/O
49386,CN(/C=N/Cc1ccco1)C
49387,CN(/C=Nc1cccc2c1nccc2)C
49606,CCN(c1c(C)cccc1C)CCNC(=[NH2])[NH]
49607,COc1ccc(cc1)OCCNC(=[NH2])[NH]
49608,CN(C1CCCCCC1)CCNC(=[NH2])[NH]
49610,[NH]C(=[NH2])NCCNc1c(C)cccc1C
49611,[NH]C(=[NH2])NCCCCOc1c(C)cccc1C
49627,CN[C@@H]([C@@H](CC=C(C)C)C)C
49656,NN[C@H](CNc1ccccc1)C
49658,NNCCSc1ccccc1
49661,C[C@H](NCC=C)C[C@@H]1CCC=C1
49662,C[C@H](NC)C[C@@H]1CCC=C1
49663,C[C@@H](C[C@@H]1CCC=C1)N
49664,C[C@H](N(C)C)C[C@@H]1CCC=C1
49719,CCN1CCc2c(C1)cccc2
49720,CC(CC(=O)c1ccc(c(c1)O)O)C
49722,O=C(c1ccc(c(c1)O)O)C1CCCC1
