PCCDB-ID,SMILES
102665,CCCC[C@H](CO[N][O])CC
102667,C=C1[C@H](O)C[C@H]2C[C@@H]1C2(C)C
102672,O/C=N/[C@H](C(=O)O)CCC(=O)O
102674,N/N=C/1C[C@H](Oc2c1cccc2)c1ccccc1
102677,C[C@@H]1COC=C1
102680,O=C[C@@H]1CCC(=CC1(C)C)C
102681,O=C1CCCC[C@@H]1C(C)(C)C
102683,C=C[C@]1(C)CCC(=CC1)C
102684,O=C[C@H]1[C@H](C)CC[C@H]1C(=C)C
102685,[NH]C(=[NH2])N[C@H](C(=O)O)C
102692,CCC[C@H](OCC)C
102693,CCCCCC[C@H](c1ccc(cc1)O)C
102699,COC(=O)C[C@@H](C(=O)O)N
102700,CCC[C@@H]([C@H](CC)C)O
102701,O=C[C@@H]1C[C@@H](C)CC(C1)(C)C
102702,O=C[C@H]1C[C@H](C)CC[C@H]1C(C)C
102703,C[C@@H](CCOC(=O)C)O
102704,Cc1cccc2c1c1ccccc1[C@H]2O
102706,C=C[C@H](CC(=O)CC(C)C)C
102708,C=CC#CC(OC[C@H]1OC1)(C)C
102711,CC(=O)OCC[C@@H]1CC(=O)[C@@H](C1(C)C)C
102712,OCCCN1[C@H](C)CC[C@H]1C
102716,CC(O[C@@H]1CCCO1)(C)C
102717,C1CC[C@@H](OC1)OCCc1ccccc1
102720,O[C@H]1CCC[C@H](C1)[C@H]1C[C@H]2C([C@]1(C)CC2)(C)C
102730,C[C@H](CC(=C)C)O
102737,CC[C@H](OC(=O)CC(C)C)C
102738,[O-][n+]1cccc(c1)[C@@H]1CCC[N]1(C)[O]
102750,Cc1ccc2c(c1)C(C)(C)[C@@H](CC2(C)C)C
102752,O=C[C@@H](C(C)C)C
102758,CC[C@@]1(CCN(C1)C)c1cccc(c1)O
102760,CCN1CCC[C@H](C1)C
102764,OC[C@H]([C@H](c1ccc(cc1)N(=O)=O)O)O
102767,CCCOC(=O)[C@H]([C@H](C(=O)OCCC)O)O
102768,O[C@H]([C@@H](C(=O)OC(C)C)O)C(=O)OC(C)C
102770,C[C@@H](CCC[C@H]1[C@@H]2CC[C@H](C1(C)C)C2)O
102771,O=C1CCC(C[C@H]1C)(C)C
102774,CCCCCC[C@@H]1CCOCO1
102776,C[C@@H]1CCOC=C1
102778,CC(=O)CC[C@@H](C(C)C)/C=C/C(=C)C
102782,C[C@@H](c1cccs1)O
102788,C[C@@H](CCCc1ccccc1)O
102794,COC([C@@H](O)C)(OC)C
102803,Oc1ccc(cc1)[C@@H](O)C
102804,OC(=O)C[C@](C(C(=O)O)(C)C)(C(=O)O)C
102807,[NH]C(=[NH2])NCCC[C@@H](C(=O)O)/N=C(/O)C
102810,OC[C@H](c1ccccc1)N1CC1
102811,CC[C@@H](COC(=O)C=C)O
102815,CC[C@H](SC(=O)CC(C)C)C
