PCCDB-ID,SMILES
31142,CN[C@H]1C[C@H]2C([C@]1(C)CC2)(C)C
31143,CCC[C@H]([C@@]1(CC=C)C(=N[C](=[N]=C1O)=O)O)C
31155,N#CCc1ccccc1C
31156,OC(=N)N1[C@@H]2CCCC[C@H]2Cc2c1cccc2
31159,OC(=N)CCc1ccccc1O
31160,C[C@@H](CCc1ccccc1)N
31169,CCCC1CCNCC1
31179,C[C@H](CCC=C(C)C)N
31189,CCc1ccc2c(c1)CCCC2
31191,CCCC(=O)/N=C(/O)C
31198,NCCSCc1ccccc1
31201,O=C1C=C(OC(=O)N(C)C)CC(C1)(C)C
31211,COc1cc(CCC(=O)C)ccc1O
31212,NN/C(=Nc1cccc(c1)C(=N)O)/O
31214,CCOC(OCC)OCC
31215,CCOP(OCC)OCC
31217,O1C[C@H]1COc1ccccc1
31223,CC(COC(=O)/C=C/c1ccccc1)C
31229,CC(=O)Oc1ccccc1
31230,C/C(=Nc1ccc(cc1)N)/O
31232,C=CC(=O)OCCc1ccc(cn1)CC
31234,OCCCc1ccccc1
31235,OCCNc1ccccc1
31236,OCCOc1ccccc1
31241,CCCC[C@H](C=O)CC
31242,CCc1ccc(cc1)O
31244,COc1ccc(cc1)C=O
31245,C[C@@H](C=O)CCC
31246,CCCC(=O)CCC
31247,CCCC(=O)OC=C
31248,O=C(OOC(=O)CCC(=O)O)CCC(=O)O
31249,CCOC(=O)CCC(=O)OCC
31252,Cc1ncc(nc1)C
31253,C=CC(=C)CCC=C(C)C
31254,C/N=C/O
31256,CC(=O)CC(O)(C)C
31258,OCC(CC(C)C)(C)C
31259,C/C(=CC(C)(C)C)/CC(C)(C)C
31260,OCCC(C)C
31261,CC(=O)CC(=O)C
31262,O=C=Nc1cccc(c1)N=C=O
31263,CCC(=O)OC(=O)CC
31264,C[C@@H]1O[C@H](C)O[C@H](O1)C
31265,CCCCCC(=O)OCC
31266,CCCCCC(=O)OCC=C
31268,C1CCCN1
31269,OC(=N)[N][N]C(=N)O
31272,CCCCOC(=O)C
31275,O1CCOCC1
31276,CC(CCOC(=O)C)C
31277,OC(=O)CSCC(=O)O
31279,C=CCNCC=C
31285,CCCCCCCC=C
31286,CCCCCCCC#N
31289,CCCCCCCCC=O
31291,CCCCCCCCCCCCCC=O
31337,OCC(N(=O)=O)(CO)CO
31341,O=C[C@]12CC=CC[C@H]2[C@H]2[C@@H](O1)CC=CC2
31344,OCC(CO)(C)C
31354,CCOP(OCC)(OCC)[S]
31358,O=C1CC(=O)CC(C1)(C)C
31361,CCOC(OCC)(C)C
31365,CCC[C@H]1O[C@]1(CC)C(=N)O
31368,CC(=C)C#N
31374,CC(=O)N(C)C
31386,O=S(=O)(c1ccccc1)c1ccccc1
31405,CC(c1cccc(c1O)C(C)(C)C)(C)C
31408,OCCC1=CC[C@@H]2C[C@H]1C2(C)C
31420,Nc1ccc(c2c1C(=O)c1ccccc1C2=O)N
31431,C=CCO[C@@H]1C[C@@H]2C[C@H]1C[C@H]2OCC=C
31435,COP(=O)(SC)SC
31448,C=C[C@@H]1O[C@H](C)CC(O1)(C)C
31450,COC[C@@]1(CO[C@H](OC1)C(C)C)C(C)C
31451,CC(OC[C@]1(C)CO[C@@H](OC1)C(C)C)C
31455,C=CC[C@@]1(CO[C@@H](OC1)C)[C@H](OC)C
31460,COCC[C@]1(C)CO[C@@H](OC1)C
31462,CCOCC[C@]1(C)CO[C@@H](OC1)C(C)C
31463,CC[C@@H]1CO[C@@H](OC1)C(C)C
31464,CCC[C@@H]1CO[C@@H](OC1)C
31469,CCC[C@]1(COC)CO[C@@H](OC1)C(C)C
31491,NC(=N)[C@H](c1ccc2c(c1)OCO2)O
31492,C[C@@H]1O[C@H](C(=N1)C)C
31493,CCc1cccc(c1)C(=O)C
31494,COc1ccc(cc1)C(=O)C(=O)c1ccccc1
31497,COc1ccc(cc1)N(C[C@H]1OC1)C[C@H]1OC1
31503,CN=c1c2ccccc2[nH]c2c1cccc2
31514,C/N=C(Oc1cccc2c1O[C@@](O2)(C)CC)/O
31517,C/N=C(Oc1ccc(c2c1OC(O2)(C)C)C)/O
31518,C/N=C(Oc1cccc2c1O[C@H](O2)C)/O
31519,C/N=C(/Oc1cccc2c1OCO2)O
31522,O=C(N(C)C)Oc1cccc2c1OC(O2)(C)C
31528,CC[C@](C#C)(OC)C
31529,CC(/C=C/C(C)(C)C)(C)C
31532,Oc1ccc2c(c1)cc1c(n2)cccc1
31541,O[C@@H](CNC(C)C)CCc1ccccc1
31545,Cc1ccc2c(c1)[C@H](C)CC[C@H]2C
31548,COC[Si](OC)(OC)OC
31550,C/N=C(/Sc1ccc(cc1)N(=O)=O)O
31554,OC[C@@H]1COc2c(C(=O)O1)cccc2
31560,NCCSC(SCCN)(C)C
31562,NCCSC(C(=O)O)SCCN
31567,CSP(=O)(OC(C)C)OC(C)C
31572,O=C(c1ccccc1)[C@H]1NCCS1
31575,CCCOCCn1ccc2c1cccc2
31576,CO[C@H](n1ccc2c1cccc2)C
31577,Nc1cccc(c1)S
31579,CNCCc1csc2c1cc(C)cc2
31585,NCCSCSCCN
31591,CCC(c1ccc(cc1)C)CC
31594,OCc1ccc(cc1N(=O)=O)N
31606,OC(=N)c1c(C)noc1c1ccc(o1)N(=O)=O
31614,CCSCCSc1nc2c([nH]1)cccc2
31623,NC1=C[CH]C=C2[C]1C(=N)c1c(N2)cccc1
31624,Nc1ccc2c(c1)c(=N)c1c([nH]2)cccc1
31625,Nc1ccc2c(c1)cc1c(n2)ccc(c1)N
31626,Cc1cccc2c1c(=N)c1c([nH]2)cccc1
31627,Cc1ccc2c(c1)c(=N)c1c([nH]2)cccc1
31628,C[C]1C=C[C]2C(=C1)Nc1c(C2=N)cccc1
31630,O=c1ccc2c(c1)[nH]c1c(c2N)cccc1
31631,Oc1cccc2c1nc1ccccc1c2N
31643,CCC#CC(CC)(C)C
31644,OC(=O)CCC(N(=O)=O)(C)C
31645,CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C
31647,OC(=O)Cc1ccccc1C(=O)c1ccccc1
31661,C#CCOc1ccc(cc1)C[C]([N]O)O
31663,COc1ccc2c(c1)cc(o2)C=O
31666,O=C1COc2c(N1[C@H]1CNCC1)cccc2
31670,NCCCN1CCCC1
31676,NCCCCCCC#N
31708,Cc1ccc(cc1)C1SCCS1
31713,COc1ccc(cc1)C1N(C)CCN1C
31721,COc1ccc(cc1)C[C@@H](N)C
31722,OC(=O)[C@@](c1ccccc1)(N)C
31738,N1CCC(CC1)Cc1ccccc1
31744,N#Cc1cccc2c1cccc2N(=O)=O
31775,N[N][C]1NNc2c3c1cccc3cnn2
31789,O[C@H]([C@@H]([C@H]1OC1)O)[C@H]1OC1
31819,CN[C@@H]1CC[C@H](CC1)NC
31835,COC(=O)c1cccc(c1O)C
31841,CC(Oc1cccs1)(C)C
31854,NC(=O)C1=NC(=[N]=C([N]1)C(=O)N)C(=O)N
31862,NC1(CCCCC1)c1ccccc1
31875,Cc1cc2c3c(c1C)cccc3c1c2cccc1
31877,C/C=C/C(=N)O
31892,CSc1ccc(cc1O)C
31904,CC(COC[C@H](O)C)C
31905,C=CC[C@@]12CCCC[C@]2(O)O[C@H](C1)C
31940,CC(CN[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)C
31954,CCC(=O)OCCOc1ccccc1
31955,C#CCN(c1ccccc1O/C(=NC)/O)C
31979,Cc1cn(c2c1cccc2)C(=O)C
31995,Cc1ccc(cc1)/N=C(/c1ccncc1)N
32010,N/C(=N/c1ccccc1)/c1ccncc1
32012,OC/C=C/CCCC=C
32016,CC(C=C(c1ccccc1)c1ccccc1)(C)C
32033,C[C@H]1SS[C@@H](S1)C
32039,CCCOC(=O)CCN1CC1
32040,CC(OC(=O)CCN1CC1)C
32041,CC[C@H](OC(=O)CCN1CC1)C
32045,CCCCCC(CCCCC)O
32053,CCNCCNc1ccccc1
32054,CC(=C)[C@H]1[C@@H](O)C=CCC1=C
32056,C[C@@H](Cc1ccc(cc1)c1ccccc1)N
32065,C[C@H]1CCc2c1nccn2
32069,C[C@]1(O)CCCC=C1
32093,CC(=O)c1nccnc1C
32097,C[C@H]1CCCC(=C)CC1
32100,N#CC1(O)CCN(CC1)CCc1ccccc1
32104,COC(=O)[C@@H]1N(C)C[C@H](c2c1ccc(c2)O)O
32106,CCOC(=O)[C@@H]1NC[C@H](c2c1ccc(c2)O)O
32108,COc1ccc(cc1)C(=O)c1cccnc1
32111,O=N/C(=C(c1ccccc1)/NO)/c1ccccc1
32144,CN(C[C@@H](c1cccc2c1cccc2)O)C
32149,COc1c(OC)ccc2c1cccc2N
32151,COc1c(OC)ccc2c1cccc2N(C)C
32152,CCCCC1=C(C)NC(=[N]=C1O)[N]CC
32153,OC(=O)Cc1cccc(c1)c1ccccc1
32158,COc1cccc(c1O)C(=O)OCCN(C)C
32176,COc1ccc2c(c1)ccc(c2)CC(=O)O
32196,C[C@H]1NCCS1
32202,CCOC(=O)CN=C=S
32204,[NH]C(=[NH2])Nc1ccc(cc1)O
32205,O[C@H]1CCC[C@H]1C
32207,CCCCC[C@@](C=C)(O)C
32214,O=C(OC1CCCCC1)CCN1CC1
32215,O=C(CCN1CC1)OCc1ccccc1
32216,COCCOC(=O)CCN1CC1
32220,CCCCCCOC1=[N]=C(NC(=N)N1)[NH]
32237,COc1ccc(cc1)C(=O)Cn1cncc1
32240,CC1=CC(=O)C(C1)(C)C
32241,CC(c1ccc2c(c1)ccc(c2)C(C)C)C
32263,CCOC1=CC(=O)C(=CC1=O)[N][C](O)C
32268,C#C[C@]1(O)CC(OC1(C)C)(C)C
32272,C1N[C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3
32273,CC[C@]1(O)CC(OC1(C)C)(C)C
32277,CCOC(=O)[C@@H](C(C)C)NN
32283,CC(C/C(=NN)/O)C
32292,CCCCCC[P@@](=O)(OCC)CC
32307,Cc1nsc(c1)N
32318,O=C(c1ccccc1)/C=N/N1CCOCC1
32334,OC(=O)[C@H](Cc1csc2c1cc(O)cc2)N
32344,N[N]C1=C[C]2C(=NN1)c1ccccc1CC2
32365,CCOC(=O)N(CC(C)C)[N][O]
32366,CC(c1nc2c([nH]1)cccc2)(C)C
32379,O[C@@H](c1ccccc1)C(=N)N
32383,OCCC[C@H]1CCCCN1
32388,c1ccc(cc1)c1cccc2c1ccnc2
32394,c1ccc(cc1)c1cccc2c1CCNC2
32396,c1ccc(cc1)c1ccc2c(c1)CCNC2
32400,c1ccc(cc1)c1ccc2c(c1)CNCC2
32412,NCCNC(=O)O
32414,CCOC(=O)C1(CCNCC1)c1ccccc1
32438,O=CC[C@@H]1CCC=CC1
32467,CCOC(=O)c1ccc(cc1)NC(=[NH2])[NH]
32469,SCCNCCCNC(=O)C(=O)N
32474,OCCN1C(=O)C2=C(C1=O)SCCS2
32478,CC([C@@H]1[C@H](C1=C(C)C)C)C
32479,CCCCCC[C@@H]1CC1=C(C)C
32485,CCc1cccc(c1N)C
32486,O/C=N/c1scc(n1)c1ccc(o1)N(=O)=O
32499,O=CC(=O)c1ccc(cc1)CCc1ccccc1
32502,COC(=O)[C@@H]1OCC(=C(C1)C)C
32505,COc1ccccc1C1SCCS1
32526,N[C@H]1C[C@H]2C([C@]1(C)CC2)(C)C
32548,CC1(C)[C@H]2CC[C@]1(C)[C@H](C2)NCc1ccco1
32562,[O][N]N([C@H]1C[C@H]2C([C@]1(C)CC2)(C)C)CC(=O)O
32594,COc1nccnc1CC(C)C
32597,O/C(=N/c1ccccc1)/C1=C(C)OCCC1
32683,C(CC[C@H]1OC1)CC[C@H]1OC1
32721,C(CC[C@H]1OC1)CCC[C@H]1OC1
32722,N=C1NC(=[N]=C(N1)OC(C)C)[NH]
32735,O=C1CC[C@H]2C[C@@H]1C2(C)C
32737,C/C=C(/C(C)C)C
32740,O/C(=N/CO)/OCC=C
32743,OC(=O)CC=C
32746,CCCCCC/C(=C/CCCCC)/C
32750,CN(CCC(=O)c1c[nH]c2c1cccc2)C
32758,C#Cc1ccc(cc1)O
32760,CCCCC(=O)/C=C(/OC)C
32761,C/N=C(Oc1cc(ccc1C)N(C)C)/O
32774,CCCCN(C(=O)c1ccccc1)CCCC
32777,CCC(=O)C(=C)C
32782,Cc1ccc(cc1)C/N=C(/O)C
32784,O=NN(CC(=O)O)CC(=O)O
32786,COC(=O)c1cc(C)cc(c1)C
32795,CC([C@@H]1N=C(O)NC(=N1)O)C
32803,C[C@H]1OC[C@H](OC1)C
32804,O[C@@H]1CCC[C@H]1C
32805,O[C@@H]1CCC[C@H]1C
32809,CC/C=C/CCOC(=O)c1ccccc1
32826,CC(=O)/C=C/CCC=C
32829,CC(C1=NC(=[N]=C([N]1)C(C)C)C(C)C)C
32832,OCCCN(=O)=O
32837,C=CCC(CC=C)(O)C
32851,C[C@H]([C@@H](C(=O)C)C)C(=O)C
32857,OCCCOCCCO
32867,CN1CCc2c([C@@H]1C)cc(cc2)c1ccccc1
32881,OC[C@@H](OC[C@@H](O)C)C
32889,Cc1cccc(c1N[C]1[N]CCS1)C
32893,C[C@H](Cc1ccccc1)N
32895,CN(Cc1ccc(cc1)O)C
32896,CN(Cc1cccc(c1)O)C
32897,CN(Cc1ccccc1O)C
32898,OCCCCCCCC(C)C
32899,CCCCCCC/C=C/C
32924,CCCOP(OCCC)([S])C
32935,CCCC/C=C/CC
32936,CCC/C=C/CCCCCC=C
32965,CCCCN(CCC)N=O
32970,C[C@@H]1CCCc2c1c(C)ccc2
32981,CC(=O)SC[C@@H]1CS1
32982,CN(CCCc1ccco1)C
32983,CN(CCCc1ccc(o1)C)C
32984,CN([C@H](CCc1ccco1)C)C
32985,CN(C[C@H](Cc1ccco1)C)C
32997,CN[C@@H]([C@@](c1ccccc1)(CC)O)C
32999,CCCCCCC=C=O
33000,CCCC/C=C/CC=O
33001,CCC/C=C/CCC=O
33002,CC(CCCCCCCCCC(=O)O)C
33008,CC1=C(C)OCCO1
33023,C[C@H](O[C@H](CO)C)CO[C@H](COC)C
33029,O=c1[nH]nc(c2c1noc2)c1ccccc1
33032,OC(=O)CC[C@H](C(=O)O)N
33033,N#Cc1ccc2c(c1)c(c[nH]2)CN(C)C
33037,O[C@H]([C@H](C(=O)O)O)[C@@H]([C@@H](C(=O)O)O)O
33044,CCc1ccc(c(c1)CC)C
33045,CCc1cccc(c1C)CC
33046,CCc1c(CC)cccc1C
33047,CCc1cc(C)ccc1CC
33053,CC[C@H]1CCC[C@@H]2[C@@H]1CCCC2
33054,CC[C@H]1CC[C@@H]2[C@@H](C1)CCCC2
33059,O=C(c1ccc(cc1)C)/C=N/N1CCCC1
33064,O=C(c1ccccc1)/C=N/N1CCCCC1
33065,O=C(c1ccc(cc1)C)/C=N/N1CCCCC1
33069,NCCCN1CCC[C@H](C1)C
33079,CN1CCN(CC1)/N=C/C(=O)c1ccccc1
33094,COC(=O)c1ccccc1C
33101,OCCCOC(=O)C=C
33103,Cc1ccc2c(c1)cco2
33104,Cc1cccc2c1cco2
33105,Cc1cccc2c1occ2
33107,Cc1ccc2c(c1)occ2C
33108,Cc1cc2c(o1)cccc2C
33109,Cc1ccc(c2c1occ2)C
33110,Cc1cc2occc2cc1C
33115,C[C@@H]1CC=C(C(=C1C)C)C
33130,O=N(=O)C(c1ccccc1O)N(=O)=O
33134,C/C=C/CC(=O)C
33135,COc1nccnc1CC
33142,N=C(NCc1ccccc1)NCc1ccccc1
33150,CO[C@H](C[C@@H](CC(OC)OC)OC)C
33151,C=C[C@@H]1CC[C@H](CO1)C=C
33152,CCO[C@@H]1OCC[C@H](C1)C
33163,COCCSCCO
33166,COc1nccnc1C(C)C
33184,C[N]N([O])C
33187,CCCCCC[C@H](OC(=O)CS)C
33198,CCOC(=O)/C=C/C(=O)OC[C@@H]1CO1
33199,Cc1cc2c(cc1C)c1c3c2cccc3ccc1
33200,CCN(CCOCCc1ccc(cc1)N)CC
33201,CCN(CCOCCc1cccc(c1)N)CC
33203,CN(CCOCCc1ccc(cc1)N)C
33229,CN(CCCc1cccc2c1cccc2)C
33251,CCN(CCCN(C)C)C#N
33257,CCO[P@@](=O)(C(=N)O)O
33261,CCCCCCCOCCOCCO
33273,C1CN[C]([N]1)CCc1ccccc1
33275,OC/C=C/[CH]C1=C[C](C(=O)O1)/C=C/CO
33293,CNc1cc2oc(=O)cc(c2cc1C)C
33296,N#CC(=Cc1ccc(cc1)/N=C(/O)C)C#N
33333,CCCC(C(=O)C)(C)C
33335,c1coc(c1)OC[C@@H]1CO1
33336,C/C=C/c1c(C)c(C)c(c2c1cccc2)C
33341,OC[C@@H](c1ccc2c(c1)ccc(c2)OC)C
33348,NNCc1ccc(cc1)C
33362,CCCCOc1ccc(cc1)/C=C/C(=NO)/O
33367,CCOc1ccc(cc1OC)/C=C/C(=NO)/O
33370,O/N=C(C=Cc1ccc(c(c1)C)OC)/O
33372,CCCOc1ccc(cc1C)/C=C/C(=NO)/O
33377,CCCCCCCCCCNO
33379,CCC[N]C1=N[C](N/C(=N/CCC)/N1)C
33380,CCCC[N]C1=N[C](C)N/C(=N/CCCC)/N1
33381,CC[C@H]([N]C1=N[C](N/C(=N/[C@H](CC)C)/N1)C)C
33384,C=CC[N]C1=N[C](N/C(=N/CC=C)/N1)C
33385,CCN(C1=NC(=[N]=C([N]1)N(CC)CC)C)CC
33403,CC[C]1N/C(=N/C)/NC(=N1)[N]C
33404,CC[N]C1=N[C](CC)N/C(=N/CC)/N1
33409,CCC[C]1N/C(=N/CC)/NC(=N1)[N]CC
33410,CCC[N]C1=N[C](N/C(=N/CCC)/N1)CCC
33411,CCC[C]1N/C(=N/C(C)C)/NC(=N1)[N]C(C)C
33415,CC[N]C1=N[C](N/C(=N/CC)/N1)C(C)C
33416,CC([N]C1=N[C](N/C(=N/C(C)C)/N1)C(C)C)C
33420,C[N]C1=N[C](N/C(=N/C)/N1)CC(C)C
