PCCDB-ID,SMILES
94154,OC[C@H]([C@H]([C@@H](CO)O)O)O
94156,c1ccc(cc1)[C@@H]1CCc2c(O1)cccc2
94157,CC(=O)C[C@@H]1CCCN1C
94158,OC(=O)[C@@H]1CO1
94164,CC(=CCC[C@]1(C)[C@@H]2C[C@@H]3[C@@]1(C)[C@@H]3C2)C
94178,O[C@H](c1ccccc1)Cc1ccccc1
94180,CCCCCC[C@@H](C(=O)O)O
94181,CC[C@H](OC(=O)CCC(=O)O[C@H](CC)C)C
94182,C[C@@H](COC(=O)C)O
94184,CCOCCC/N=C([C@@H](C(CO)(C)C)O)/O
94185,C[C@@H](Cc1ccccc1)O
94189,CCC[C@H](C(=O)OC)CC
94197,COc1ccc(cc1)/C=C/C(=O)c1ccccc1
94205,CC[C@H]1CCCCN1
94206,CC[C@@H]([C@@H](C(=O)O)N)C
94211,NCCCC[C@@H](CCCN)CN
94213,CCCCCC[C@H](CCCC)C
94215,CCOC[C@@H](CO)O
94216,CCCCCCCCC[C@@H](CC(=O)O)O
94217,CC(=C)[C@@H]1CC[C@@]([C@H](C1)O)(C)O
94220,[NH][C]([C@@H](O)C)O
94222,C[C@@H](OC(=N)O)CC
94226,CCCC/C=C/CCC
94227,O=C(c1ccccc1)OC[C@@H]1CCCO1
94229,CCOC(=O)[C@H](Cc1ccccc1)/N=C(/O)C
94232,C=CC(=O)OC[C@@H]1CCCO1
94239,COC(=O)[C@@H]1CCCN1
94243,OCC[C@@H](c1ccccc1)C
94246,C[C@H](OC(=O)C=C)CO
94247,O(Cc1ccccc1)C[C@H]1OC1
94249,C[C@H]1CC[C@@H]2[C@@H](C1)CCCC2
94250,CCC[C@@H](c1cccnc1)NC
94251,CCCCCC[C@H](C(=O)O)C
94254,C=C[C@]1(C)CCC(=C(C)C)C[C@@H]1C(=C)C
94263,OC[C@H]1CCCCN1
94264,C1CCC(CC1)[C@@H]1CO1
94266,CC(=O)O[C@H]1C[C@]2([C@@H](C1=C)C2)C(C)C
94268,C/C(=CC=O)/CC
94274,OC/C=C/c1ccc(cc1)O
94276,C[C@@H]1C[C@@H](C)[C@@H]([C@@H](C1)C)C
94277,C[C@@H]1[C@H](C)CC[C@H]([C@@H]1C)C
94278,OO[C@@]1(C=C)CCC=CC1
94282,CCCCCCC/C=C/C(=O)O
94284,OC(=O)[C@H]1NCC=C1
94285,COC(=O)[C@H](C(C)C)N
94289,CCCC[C@H](COC(=N)O)CC
94292,C[C@H](C=C)CO
94293,C[C]1CCC(N1[O])(C)C
94297,CO/C=C/C(=O)C
94301,N#CC=C(C)C
94304,CC1=C2OC=C(c3c2c(C(=O)C1=O)c(C)cc3)C
94305,OC(=O)/C=C/C=C/c1ccc2c(c1)OCO2
94306,O(Cc1ccco1)C[C@@H]1CO1
94309,OC[C@](C(=O)O)(N)C
94310,CCCC[C@H](COC(=O)c1ccccc1)CC
94313,CCC[C@@H](C#N)O
94317,CCC[C@H](CC(=O)C)C
94318,C[C@@H](CC(=O)O)O
94335,CCCC[C@@H](CO)O
94338,Cc1ccc(cc1)/C=C/c1ccc(cc1)N(C)C
94345,N#CCC/C=C/C#N
94349,C[C@@H]1CCC2=C(C(=O)O[C@H]2C1)C
94355,CC([C@@](C#N)(N)C)C
94356,C1=CC2=C(CC1)N=CCC2
94362,CCCCCCOCCOCCOCCO
94367,Cc1cccc(c1N=[N]=[N])C
94373,CCC(=O)/C=C/C=C(/CCC=C(C)C)C
94386,COC(=O)[C@@H](O)C
94395,C1CC=CN1
94402,CC/C=C/OC
94413,CCn1ccc(=O)c(c1C)O
94414,Cc1c(O)c(=O)ccn1CCO
94416,CC(c1ccc(cc1)N=C=O)C
94417,[O][N]c1ccc(cc1)C(=O)C
94424,N#CN/C(=N/C)/NC
94427,CC[C@H](OC(=O)CC(=O)O[C@H](CC)C)C
94434,O[C@@H](CO)COC[C@@H]1CO1
94453,O[C@@H]1CC[C@@H]2[C@@H](C1)CC[C@H](C2)C(C)C
94455,Oc1nc(C)nc(c1)C(=O)O
94459,N1CCN(CC1)c1ccccn1
94461,CC(CNC(=N)NN(=O)=O)C
94473,Oc1ccccc1/C(=N[C]1=NN[CH]N=1)/O
94477,NCCn1ccc(=O)c(c1)O
94489,[N][N][CH]C(=O)NC/C(=NCC)/O
94499,Cc1ccc2c(c1)[nH]c(=N)n2C
94505,CC(c1ccc2c(c1)cc(cc2)C(C)C)C
94506,O=NN1CCCCO1
94519,Cc1ccc(cc1)Oc1ccc(cc1)N
94521,CC1=CC[C@@H]2[C@@H](C1)[C@@H]1C[C@H]2[C@@]2(C1)O[C@@H]2C
94522,CC1=CC[C@H]2[C@H](C1)[C@@H]1C[C@H]2C[C@]21O[C@@H]2C
94527,N#CC(=O)C(C)(C)C
94532,CCN([C@@H]([C@H](c1ccccc1)O)C)C
94541,COCCN(c1ccc(c(c1)C)N)CC
94542,C[C@@H]1CC=C(C=C1)S([O])([O])O
94548,OCCCCCCCC/C=C/C/C=C/C
94555,COC(=O)[C@@H](Nc1c(C)cccc1C)C
94560,OCc1cc(C)ccc1C
94566,Cc1cc(C(=C)C)c(cc1C)C
94567,CN1CCN(CC1)Cc1ncc(n1C)N(=O)=O
94576,C[C@@H]1COC[C@@H](N1N=O)C
94582,CC([N][N]C(O)(C)C)(C)C
94585,CCCc1ccc(c(c1)O)OC
94593,COC[C@H](Cn1c(C)ncc1N(=O)=O)O
94594,ONc1ccc(cc1)/C=C/c1ccccc1
94597,CC(c1ncccn1)(C)C
94604,Cc1ccccc1/C=C/c1ccc(cc1)N(C)C
94605,Cc1cccc(c1)/C=C/c1ccc(cc1)N(C)C
94608,CCCC(=O)O[C@H](C1CCCCC1)C
94609,CC(OC(=O)[C@@H](O)C)C
94614,O=N[C@H](C(ON(=O)=O)(C)C)C(C)(C)C
94620,CN([N][N]c1ccc(cc1)NC(=N)O)C
94627,S=C(N1CCOCC1)SNC(C)(C)C
94648,C=C/C(=C/C[C@H]1OC1(C)C)/C
94664,CCCCCCCCOCC
94665,CCNCc1cc(ccc1O)N(=O)=O
94666,CC/C=C/C=C/CCCCCCCCCC=O
94670,CCOC(=O)c1ccc2c(c1)cccn2
94671,CCSS
94677,CN1CCN(CC1)CCn1cncc1N(=O)=O
94708,COC(=O)/C(=C/c1ccc(o1)N(=O)=O)/C
94712,COc1ccc(cc1)/C=N/O
94713,OC(=N)C(c1ccccc1)(C)C
94714,O=C(c1ccccc1)/C=C/C(=O)O
94715,O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O
94716,CCCC(=O)Oc1ccccc1C(=O)O
94717,CCCCCC(=O)Oc1ccccc1C(=O)O
94719,N#Cc1c2ccccc2nc2c1cccc2
94728,N/N=C(c1ccccc1N)/O
94740,CC(CC(O)(C)C)(C)C
94744,C[C@@](C(=O)O)(CC)N
94745,OC1=[N]=[C](=NC21CCCC2)O
94746,O=C1OCCC1(C)C
94747,CCCCC/C(=N/O)/C
94748,CCCOc1ccc(cc1)C
94749,COc1ccc(cc1)/C=C/1N=[C](=[N]=C1O)O
94750,COc1ccc(cc1)C(C)(C)C
94753,N[C]1N=C[N]c2c1cnn2C
94762,O/N=C(C/C(=N/O)/C)/C
94763,Oc1ccc(cc1)[C@H](c1ccccc1)C
94764,c1ccc(cc1)NNc1ccc2c(n1)cccc2
94772,COC(=O)[C@H](CSc1ccccc1)C
94776,Cc1ccccc1N1C(=O)c2c(C1=O)cccc2
94781,CCCOCCC#N
94787,O=N(=O)c1ccc2c(c1)c1ccccc1C2
94790,N[N]C(=[N]=C(NN)O)O
94791,CN(C(=O)CCCCC(=O)N(C)C)C
94795,CCCCCCCC(=O)N1CCOCC1
94796,OC(=N)N/N=C(C(=O)O)/C
94800,CCCCCO/C=C/CN1CCOCC1
94802,CC(OC(=O)Nc1ccc(cc1)O)C
94803,O=N(=O)c1cc(ccc1N1CC1)N(=O)=O
94811,NC[C]([N]O)O
94826,O1C[C@H]1Cc1ccccc1
94828,CC[C@H]([C@H]1CCCC[C@H]1O)C
94829,N/C(=N/C1=N[N]NN1)/[NH]
94833,O=C(c1ccccc1)CN(=O)=O
94836,N#CSc1ccc(c(c1)O)O
94837,N#CSc1cc(C(C)C)c(cc1C)O
94839,C/C(=Nc1nncs1)/O
94840,CCCC/N=C/CCC
94845,CN[C]1N=C[N]c2c1ncn2C
94851,CCC/C=N/c1ccccc1
94853,COP(OC)O
94854,Oc1cc2cccc3c2c2c1cccc2cc3
94855,C1CCC(=CC1)c1cccc2c1cccc2
94857,COc1c(O)cc(cc1N(=O)=O)C=O
94865,CNC1(CCCCC1)C#N
94867,CCCCN(C[C@@H](CO)O)CCCC
94871,C/C(=Nc1ccc(c(c1)/N=C(/O)C)C)/O
94875,CC(CCOC(=O)c1ccc(cc1)N(=O)=O)C
94879,CCCCOC/C(=NC1CCCCC1)/O
94880,N=c1[nH]c2c(s1)ccc1c2cccc1
94882,COC(=O)c1ccc(o1)N(=O)=O
